"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"50095406","DUNKIN'/UHALL COMMONS CAFE","Manhattan","110","EAST   14 STREET","10003","7185369577","American","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","17",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.734067997728","-73.989066820723","103","02","004200","1009072","1005590012","MN22","POINT (-73.989066820723 40.734067997728)"
"50133302","POTBELLY","Manhattan","22","EAST   17 STREET","10003","9148799139","Sandwiches","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","57","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.737392074845","-73.990996815711","105","02","005200","1016089","1008440026","MN13","POINT (-73.990996815711 40.737392074845)"
"50077905","LAKOU CAFE","Brooklyn","195","UTICA AVENUE","11213","3472950566","Coffee/Tea","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","17",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.672067960345","-73.930806721015","308","36","034700","3036544","3013730010","BK61","POINT (-73.930806721015 40.672067960345)"
"50059059","ORALE TACOS","Queens","23-23","30 AVENUE","11102","9174765819","Tex-Mex","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","25","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.76907332307","-73.926041149236","401","22","007100","4006264","4005480011","QN71","POINT (-73.926041149236 40.76907332307)"
"40647906","TERRACE ON THE PARK","Queens","52-11","111 STREET","11368","7185925000","American","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","28",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.744026883846","-73.85180966231","481","21","038302","4541522","4020180001","QN99","POINT (-73.85180966231 40.744026883846)"
"50105549","16 HANDLES","Manhattan","155","CHAMBERS STREET","10007","9146564534","Frozen Desserts","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","05D","No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.","Critical","61",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.715947119217","-74.010172657064","101","01","002100","1001504","1001400009","MN24","POINT (-74.010172657064 40.715947119217)"
"41611253","DUNKIN","Bronx","950","ALLERTON AVENUE","10469","7184508356","Donuts","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","7","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.865494332101","-73.859376287689","211","13","032600","2051712","2044470062","BX31","POINT (-73.859376287689 40.865494332101)"
"50130429","ASA BOWLS","Staten Island","418","FOREST AVENUE","10301","7187276666","Japanese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","38",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.630829351105","-74.103347265992","501","49","005900","5006981","5002530001","SI35","POINT (-74.103347265992 40.630829351105)"
"50152131","CRUMBL COOKIES","Staten Island","423","FOREST AVENUE","10301","3476805320","Bakery Products/Desserts","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","5","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.630837504143","-74.103437346406","501","49","006700","5003238","5001320003","SI35","POINT (-74.103437346406 40.630837504143)"
"50037612","MANGO MANGO","Queens","136-28","39 AVENUE","11354","9175631847","Juice, Smoothies, Fruit Salads","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","13","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.760436847671","-73.829367293383","407","20","087100","4112493","4049800014","QN22","POINT (-73.829367293383 40.760436847671)"
"50088490","EL TAMALITO","Bronx","531","EAST  138 STREET","10454","7189752146","Mexican","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","72",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.807099259479","-73.918152848368","201","08","003900","2000068","2022660036","BX39","POINT (-73.918152848368 40.807099259479)"
"50088490","EL TAMALITO","Bronx","531","EAST  138 STREET","10454","7189752146","Mexican","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","72",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.807099259479","-73.918152848368","201","08","003900","2000068","2022660036","BX39","POINT (-73.918152848368 40.807099259479)"
"41655257","ROSEN'S CAFE","Manhattan","2","BROADWAY","10004","2127859822","American","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","27",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.704111365647","-74.013186030396","101","01","000900","1000029","1000110001","MN25","POINT (-74.013186030396 40.704111365647)"
"40384188","LA MELA","Manhattan","167","MULBERRY STREET","10013","2124319493","Italian","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","12","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.719910978144","-73.997077892142","102","01","004100","1006967","1004710019","MN24","POINT (-73.997077892142 40.719910978144)"
"40366938","LULU'S COFFEE SHOP","Bronx","1191","CASTLE HILL AVENUE","10462","7188223568","Coffee/Tea","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","05D","No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.","Critical","37",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.831707036899","-73.850999305895","209","18","009200","2026488","2038110036","BX59","POINT (-73.850999305895 40.831707036899)"
"41325638","TRIBECA BAGELS","Manhattan","374","CANAL STREET","10013","2122268518","Sandwiches","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","24",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.721071972868","-74.004260579913","101","01","003300","1002731","1002110028","MN24","POINT (-74.004260579913 40.721071972868)"
"50165641","DOMIMEXX PIZZA & BAKERY","Manhattan","1045","SAINT NICHOLAS AVENUE","10032","9297836605","Bakery Products/Desserts","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","30","N",,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.836336028501","-73.940006007728","112","07","024500","1062910","1021220001","MN36","POINT (-73.940006007728 40.836336028501)"
"50014784","RAMEN MEIJIN","Manhattan","1574","2 AVENUE","10028","2123272800","Japanese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","13","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.775035737893","-73.953795938062","108","05","013800","1049866","1015440050","MN32","POINT (-73.953795938062 40.775035737893)"
"50107442","DOUBLE CHICKEN PLEASE","Manhattan","115","ALLEN STREET","10002","6466785452","Chicken","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical","24","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.719457713566","-73.990241669375","103","01","001800","1087060","1004157502","MN27","POINT (-73.990241669375 40.719457713566)"
"50121654","WESTVILLE","Manhattan","88","7 AVENUE","10011","2129242223","American","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","20",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.739560786584","-73.998957112115","104","03","008100","1013775","1007650035","MN13","POINT (-73.998957112115 40.739560786584)"
"50178935","IT TRATTORIA","Manhattan","390","5 AVENUE","10018","6465264767","Italian","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","24","N",,"2025-11-27T06:00:13.000","Pre-permit (Non-operational) / Initial Inspection","40.749800394372","-73.984079971299","105","04","008400","1015900","1008370048","MN17","POINT (-73.984079971299 40.749800394372)"
"41525640","THE SWALLOW CAFE & ESPRESSO BAR","Brooklyn","49","BOGART STREET","11206","7183811944","Coffee/Tea","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","16",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.705322388014","-73.933311222353","301","34","048500","3325963","3031010014","BK78","POINT (-73.933311222353 40.705322388014)"
"41171181","169 BAR","Manhattan","169","EAST BROADWAY","10002","9175772077","American","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","04J","Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.","Critical","31",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.714072440996","-73.989813201259","103","01","000600","1003625","1002840026","MN28","POINT (-73.989813201259 40.714072440996)"
"41112524","ADRIENNE'S PIZZA BAR","Manhattan","54","STONE STREET","10004","2122483838","Italian","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","21",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.704402614918","-74.010210562285","101","01","000900","1088620","1000297504","MN25","POINT (-74.010210562285 40.704402614918)"
"50106324","CHEN'S GARDEN","Staten Island","1547","ARTHUR KILL ROAD","10312","9172382481","Chinese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","27",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.562507433647","-74.191697713766","503","51","022800","5127870","5059000020","SI05","POINT (-74.191697713766 40.562507433647)"
"50132315","CHINA EXPRESS","Brooklyn","4106","AVENUE D","11203","7184622779","Chinese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","12","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.641599437133","-73.937825219714","317","45","083400","3112744","3049750003","BK91","POINT (-73.937825219714 40.641599437133)"
"50106152","CHARM BAR","Brooklyn","448","DEAN STREET","11217","6462266232","Caribbean","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","45","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.681948352842","-73.976182205696","306","39","012902","3018481","3009310009","BK37","POINT (-73.976182205696 40.681948352842)"
"40637864","PAM'S BAKERY","Brooklyn","4620","CHURCH AVENUE","11203","7187030393","Bakery Products/Desserts","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","13","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.651560845402","-73.933985027855","317","45","086000","3109934","3049000012","BK91","POINT (-73.933985027855 40.651560845402)"
"41001677","PYLOS","Manhattan","128","EAST    7 STREET","10009","2124730220","Greek","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","13","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.72620913179","-73.983944921354","103","02","003200","1005790","1004347502","MN22","POINT (-73.983944921354 40.72620913179)"
"50138450","CHAMPION PIZZA","Queens","22-36A","31 STREET","11105","3476124739","Pizza","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","11","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.775321226281","-73.911693056938","401","22","011500","4017620","4008440052","QN72","POINT (-73.911693056938 40.775321226281)"
"50059059","ORALE TACOS","Queens","23-23","30 AVENUE","11102","9174765819","Tex-Mex","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","25","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.76907332307","-73.926041149236","401","22","007100","4006264","4005480011","QN71","POINT (-73.926041149236 40.76907332307)"
"40366938","LULU'S COFFEE SHOP","Bronx","1191","CASTLE HILL AVENUE","10462","7188223568","Coffee/Tea","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","37",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.831707036899","-73.850999305895","209","18","009200","2026488","2038110036","BX59","POINT (-73.850999305895 40.831707036899)"
"50064374","CERVO'S","Manhattan","43","CANAL STREET","10002","2122262545","Seafood","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","21","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.714750528329","-73.991393077194","103","01","001600","1003857","1002980034","MN27","POINT (-73.991393077194 40.714750528329)"
"41001677","PYLOS","Manhattan","128","EAST    7 STREET","10009","2124730220","Greek","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","20-04","“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.","Not Critical",,,,"2025-11-27T06:00:13.000","Administrative Miscellaneous / Initial Inspection","40.72620913179","-73.983944921354","103","02","003200","1005790","1004347502","MN22","POINT (-73.983944921354 40.72620913179)"
"50149428","TI HU TAIWANESE CUISINE","Queens","249-11","NORTHERN BOULEVARD","11362","9293811118","Chinese","2025-11-25T00:00:00.000","Establishment re-opened by DOHMH.",,,"Not Applicable","0","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Pre-permit (Operational) / Reopening Inspection","40.76798026337","-73.738039581753","411","19","147900","4169276","4081260093","QN45","POINT (-73.738039581753 40.76798026337)"
"50178909","BAO'S WOK","Queens","37-09","COLLEGE POINT BOULEVARD","11354","3479727833","Chinese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","66","N",,"2025-11-27T06:00:13.000","Pre-permit (Non-operational) / Initial Inspection","40.760052364497","-73.834847851894","407","20","087100","4620808","4049727505","QN22","POINT (-73.834847851894 40.760052364497)"
"40366938","LULU'S COFFEE SHOP","Bronx","1191","CASTLE HILL AVENUE","10462","7188223568","Coffee/Tea","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.","Critical","37",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.831707036899","-73.850999305895","209","18","009200","2026488","2038110036","BX59","POINT (-73.850999305895 40.831707036899)"
"41655257","ROSEN'S CAFE","Manhattan","2","BROADWAY","10004","2127859822","American","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","05C","Food contact surface, refillable, reusable containers, or equipment improperly constructed, placed or maintained. Unacceptable material used. Culinary sink or other acceptable method not provided for washing food.","Critical","27",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.704111365647","-74.013186030396","101","01","000900","1000029","1000110001","MN25","POINT (-74.013186030396 40.704111365647)"
"50169727","YUMMY DIPS","Bronx","711","LYDIG AVENUE","10462","9174717857","Coffee/Tea","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","20-04","“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.","Not Critical",,,,"2025-11-27T06:00:13.000","Administrative Miscellaneous / Initial Inspection","40.854491722634","-73.867160771517","211","13","022403","2049402","2043180057","BX49","POINT (-73.867160771517 40.854491722634)"
"41325638","TRIBECA BAGELS","Manhattan","374","CANAL STREET","10013","2122268518","Sandwiches","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","24",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.721071972868","-74.004260579913","101","01","003300","1002731","1002110028","MN24","POINT (-74.004260579913 40.721071972868)"
"41112524","ADRIENNE'S PIZZA BAR","Manhattan","54","STONE STREET","10004","2122483838","Italian","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","21",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.704402614918","-74.010210562285","101","01","000900","1088620","1000297504","MN25","POINT (-74.010210562285 40.704402614918)"
"50139059","XING FU TANG","Queens","40-52","MAIN STREET","11354","6318892281","Coffee/Tea","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","12","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.758441749858","-73.82959983144","407","20","087100","4114147","4050370063","QN22","POINT (-73.82959983144 40.758441749858)"
"50010993","THE COPPER STILL","Manhattan","151","2 AVENUE","10003","2125108469","American","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","36",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.72940992601","-73.987090372775","103","02","004000","1006798","1004650050","MN22","POINT (-73.987090372775 40.72940992601)"
"50098186","NY HAPPY FAMILY INC","Queens","135-29","40 ROAD","11354","7183581818","Chinese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","28",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.758865223248","-73.830125755054","407","20","087100","4114126","4050360145","QN22","POINT (-73.830125755054 40.758865223248)"
